 x, y, z
  0.308767094949E-01,  0.394558114528E-07,  0.244910122733E+00
  0.338379958355E-01,  0.514804406175E-02,  0.256521713396E+00
  0.388472226003E-01,  0.136170607496E-01,  0.276172967203E+00
  0.426457397593E-01,  0.186070818892E-01,  0.287641525670E+00
  0.474753610274E-01,  0.248546932694E-01,  0.302227372595E+00
  0.538533181084E-01,  0.328994026349E-01,  0.320972285657E+00
  0.599913294525E-01,  0.406901272398E-01,  0.339006285894E+00
  0.677154987866E-01,  0.486273950878E-01,  0.357321686862E+00
  0.832222845474E-01,  0.647327362480E-01,  0.394069904439E+00
  0.845710582513E-01,  0.661138622835E-01,  0.397199283001E+00
  0.853690361651E-01,  0.669316111262E-01,  0.399050598504E+00
  0.104319395790E+00,  0.831909709642E-01,  0.435604283845E+00
  0.114810042027E+00,  0.922793238368E-01,  0.455822008266E+00
  0.127415232793E+00,  0.101616240813E+00,  0.476427866416E+00
  0.148145047550E+00,  0.117129083186E+00,  0.510282135634E+00
  0.153892471951E+00,  0.120860250765E+00,  0.518351816256E+00
  0.177854613430E+00,  0.136549913741E+00,  0.551969130915E+00
  0.183644998290E+00,  0.140315375990E+00,  0.559956364360E+00
  0.185205053657E+00,  0.141332027466E+00,  0.562107648910E+00
  0.216437854826E+00,  0.159163609094E+00,  0.599459215950E+00
  0.225818058684E+00,  0.164580280928E+00,  0.610659455849E+00
  0.252492400426E+00,  0.178160805735E+00,  0.638429490808E+00
  0.269817063307E+00,  0.187090659779E+00,  0.656433657168E+00
  0.291685416457E+00,  0.197065996238E+00,  0.676298503002E+00
  0.317030067639E+00,  0.208784817881E+00,  0.699275345307E+00
  0.333672128059E+00,  0.215876496894E+00,  0.712380459888E+00
  0.367288076916E+00,  0.229460540046E+00,  0.739067114751E+00
  0.378876481075E+00,  0.233929341003E+00,  0.746989612373E+00
  0.420421080984E+00,  0.249122546469E+00,  0.775631478508E+00
  0.426832477379E+00,  0.251358845881E+00,  0.779411183205E+00
  0.476260084677E+00,  0.267699075249E+00,  0.808810680391E+00
  0.477376167415E+00,  0.268050486566E+00,  0.809372058122E+00
  0.487145354689E+00,  0.271094943381E+00,  0.814295066561E+00
  0.529974530436E+00,  0.283797368468E+00,  0.835626847370E+00
  0.534635088026E+00,  0.285118004640E+00,  0.837971369298E+00
  0.584804537991E+00,  0.298615409780E+00,  0.858852093644E+00
  0.595376090970E+00,  0.301296817660E+00,  0.863313514013E+00
  0.641796620904E+00,  0.312436706969E+00,  0.879103227774E+00
  0.658313093525E+00,  0.316158264735E+00,  0.884812546756E+00
  0.700773373633E+00,  0.325167821882E+00,  0.896173907388E+00
  0.723276095661E+00,  0.329625509327E+00,  0.902315250208E+00
  0.761558274045E+00,  0.336721925487E+00,  0.909881728812E+00
  0.790097097353E+00,  0.341621976475E+00,  0.915669548266E+00
  0.823970739672E+00,  0.347017354289E+00,  0.920060216139E+00
  0.858604098577E+00,  0.352070282509E+00,  0.924723623131E+00
  0.887825369868E+00,  0.355976955450E+00,  0.926558330920E+00
  0.928628099316E+00,  0.360893145571E+00,  0.929324551026E+00
  0.952936729159E+00,  0.363528545817E+00,  0.929243918951E+00
  0.100000009956E+01,  0.368015442319E+00,  0.929319817271E+00
  0.101882531686E+01,  0.369583793308E+00,  0.928019476142E+00
  0.107137009931E+01,  0.373274270557E+00,  0.924649842680E+00
  0.108445809140E+01,  0.374035293225E+00,  0.922880191163E+00
  0.114140009857E+01,  0.376594656050E+00,  0.915463547929E+00
  0.114892721910E+01,  0.376840966319E+00,  0.913942052836E+00
  0.120990009734E+01,  0.378021500159E+00,  0.901926250113E+00
  0.121203249361E+01,  0.378036287366E+00,  0.901349936974E+00
  0.123460146337E+01,  0.378079967677E+00,  0.895293180150E+00
  0.127343862741E+01,  0.377670192670E+00,  0.884741227438E+00
  0.127672009566E+01,  0.377606608922E+00,  0.883863259213E+00
  0.133307649373E+01,  0.375796549493E+00,  0.864460246099E+00
  0.134169009352E+01,  0.375396695416E+00,  0.861552640020E+00
  0.139087584161E+01,  0.372463502206E+00,  0.841028298620E+00
  0.140462009096E+01,  0.371438563775E+00,  0.835389663101E+00
  0.144667728573E+01,  0.367720435903E+00,  0.814626515641E+00
  0.146536008800E+01,  0.365774753270E+00,  0.805541051662E+00
  0.150031330354E+01,  0.361624922327E+00,  0.785452018589E+00
  0.152374008467E+01,  0.358450618736E+00,  0.772172675753E+00
  0.155161645754E+01,  0.354240541078E+00,  0.753722126005E+00
  0.157958008093E+01,  0.349511101824E+00,  0.735451452214E+00
  0.160042554937E+01,  0.345637417940E+00,  0.719676205540E+00
  0.163271007688E+01,  0.339000083138E+00,  0.695544389214E+00
  0.164659113060E+01,  0.335894226610E+00,  0.683585694007E+00
  0.168297007246E+01,  0.326958598034E+00,  0.652618968356E+00
  0.169006223111E+01,  0.324970337689E+00,  0.645721509087E+00
  0.173018007277E+01,  0.313479644973E+00,  0.606819425018E+00
  0.173040720369E+01,  0.313404153814E+00,  0.606568413361E+00
  0.173160197709E+01,  0.313006862102E+00,  0.605248172253E+00
  0.176784102666E+01,  0.300603294376E+00,  0.564716822830E+00
  0.177418006669E+01,  0.298397308994E+00,  0.557647533123E+00
  0.180212915869E+01,  0.287132017299E+00,  0.522025853003E+00
  0.181480006136E+01,  0.281943702118E+00,  0.505922792730E+00
  0.183314903376E+01,  0.273209377163E+00,  0.479098827753E+00
  0.185185005574E+01,  0.264176261204E+00,  0.451835376184E+00
  0.186082581175E+01,  0.259103160592E+00,  0.436654060191E+00
  0.188492914652E+01,  0.245298528228E+00,  0.395989250337E+00
  0.188512467168E+01,  0.245183807953E+00,  0.395653923715E+00
  0.188519004906E+01,  0.245145443972E+00,  0.395541805650E+00
